Date,Node,Value,Day_of_Week,Day_Of_Month,Month_Of_Year,Code,Agent,Access,State
2016-01-01 00:00:00,zh_AAC_SPD,30,4,1,1,0,22,16,6
2016-01-01 00:00:00,zh_DES_AAG,2512,4,1,1,0,23,17,6
2016-01-01 00:00:00,zh_MOB_AAG,606,4,1,1,0,24,18,6
2016-01-01 00:00:00,de_AAC_AAG_001,361,4,1,1,1,1,1,1
2016-01-01 00:00:00,de_AAC_AAG_010,2777,4,1,1,2,1,1,1
2016-01-01 00:00:00,de_AAC_AAG_014,2907,4,1,1,3,1,1,1
2016-01-01 00:00:00,de_AAC_AAG_045,48,4,1,1,4,1,1,1
2016-01-01 00:00:00,de_AAC_AAG_063,3087,4,1,1,5,1,1,1
2016-01-01 00:00:00,de_AAC_AAG_100,166,4,1,1,6,1,1,1
2016-01-01 00:00:00,de_AAC_AAG_110,753,4,1,1,7,1,1,1
2016-01-01 00:00:00,de_AAC_AAG_123,70,4,1,1,8,1,1,1
2016-01-01 00:00:00,de_AAC_AAG_143,117,4,1,1,9,1,1,1
2016-01-01 00:00:00,de_AAC_SPD_012,7,4,1,1,10,2,1,1
2016-01-01 00:00:00,de_AAC_SPD_074,8,4,1,1,11,2,1,1
2016-01-01 00:00:00,de_AAC_SPD_080,29,4,1,1,12,2,1,1
2016-01-01 00:00:00,de_AAC_SPD_105,3,4,1,1,13,2,1,1
2016-01-01 00:00:00,de_AAC_SPD_115,5,4,1,1,14,2,1,1
2016-01-01 00:00:00,de_AAC_SPD_133,5,4,1,1,15,2,1,1
2016-01-01 00:00:00,de_DES_AAG_064,173,4,1,1,16,3,2,1
2016-01-01 00:00:00,de_DES_AAG_116,145,4,1,1,17,3,2,1
2016-01-01 00:00:00,de_DES_AAG_131,614,4,1,1,18,3,2,1
2016-01-01 00:00:00,de_MOB_AAG_015,628,4,1,1,19,4,3,1
2016-01-01 00:00:00,de_MOB_AAG_020,1013,4,1,1,20,4,3,1
2016-01-01 00:00:00,de_MOB_AAG_032,298,4,1,1,21,4,3,1
2016-01-01 00:00:00,de_MOB_AAG_059,256,4,1,1,22,4,3,1
2016-01-01 00:00:00,de_MOB_AAG_062,130,4,1,1,23,4,3,1
2016-01-01 00:00:00,de_MOB_AAG_088,819,4,1,1,24,4,3,1
2016-01-01 00:00:00,de_MOB_AAG_095,10,4,1,1,25,4,3,1
2016-01-01 00:00:00,de_MOB_AAG_109,625,4,1,1,26,4,3,1
2016-01-01 00:00:00,de_MOB_AAG_122,139,4,1,1,27,4,3,1
2016-01-01 00:00:00,de_MOB_AAG_149,149,4,1,1,28,4,3,1
2016-01-01 00:00:00,en_AAC_AAG_044,222,4,1,1,29,5,4,2
2016-01-01 00:00:00,en_AAC_AAG_049,995,4,1,1,30,5,4,2
2016-01-01 00:00:00,en_AAC_AAG_075,43,4,1,1,31,5,4,2
2016-01-01 00:00:00,en_AAC_AAG_114,6142,4,1,1,32,5,4,2
2016-01-01 00:00:00,en_AAC_AAG_119,31462,4,1,1,33,5,4,2
2016-01-01 00:00:00,en_AAC_AAG_141,883,4,1,1,34,5,4,2
2016-01-01 00:00:00,en_AAC_SPD_004,10,4,1,1,35,6,4,2
2016-01-01 00:00:00,en_AAC_SPD_011,18,4,1,1,36,6,4,2
2016-01-01 00:00:00,en_AAC_SPD_026,17,4,1,1,37,6,4,2
2016-01-01 00:00:00,en_AAC_SPD_048,7,4,1,1,38,6,4,2
2016-01-01 00:00:00,en_AAC_SPD_067,8,4,1,1,39,6,4,2
2016-01-01 00:00:00,en_AAC_SPD_126,195,4,1,1,40,6,4,2
2016-01-01 00:00:00,en_AAC_SPD_140,6,4,1,1,41,6,4,2
2016-01-01 00:00:00,en_DES_AAG_016,6,4,1,1,42,7,5,2
2016-01-01 00:00:00,en_DES_AAG_024,623,4,1,1,43,7,5,2
2016-01-01 00:00:00,en_DES_AAG_042,152,4,1,1,44,7,5,2
2016-01-01 00:00:00,en_DES_AAG_069,7967,4,1,1,45,7,5,2
2016-01-01 00:00:00,en_DES_AAG_082,1333,4,1,1,46,7,5,2
2016-01-01 00:00:00,en_DES_AAG_102,3841,4,1,1,47,7,5,2
2016-01-01 00:00:00,en_MOB_AAG_018,1545,4,1,1,48,8,6,2
2016-01-01 00:00:00,en_MOB_AAG_022,3063,4,1,1,49,8,6,2
2016-01-01 00:00:00,en_MOB_AAG_101,330,4,1,1,50,8,6,2
2016-01-01 00:00:00,en_MOB_AAG_124,4451,4,1,1,51,8,6,2
2016-01-01 00:00:00,fr_AAC_AAG_029,1189,4,1,1,52,9,7,3
2016-01-01 00:00:00,fr_AAC_AAG_046,171,4,1,1,53,9,7,3
2016-01-01 00:00:00,fr_AAC_AAG_070,1198,4,1,1,54,9,7,3
2016-01-01 00:00:00,fr_AAC_AAG_087,1446,4,1,1,55,9,7,3
2016-01-01 00:00:00,fr_AAC_AAG_098,2826,4,1,1,56,9,7,3
2016-01-01 00:00:00,fr_AAC_AAG_104,675,4,1,1,57,9,7,3
2016-01-01 00:00:00,fr_AAC_AAG_111,319,4,1,1,58,9,7,3
2016-01-01 00:00:00,fr_AAC_AAG_112,799,4,1,1,59,9,7,3
2016-01-01 00:00:00,fr_AAC_AAG_142,317,4,1,1,60,9,7,3
2016-01-01 00:00:00,fr_AAC_SPD_025,4,4,1,1,61,10,7,3
2016-01-01 00:00:00,fr_AAC_SPD_027,2,4,1,1,62,10,7,3
2016-01-01 00:00:00,fr_AAC_SPD_035,5,4,1,1,63,10,7,3
2016-01-01 00:00:00,fr_AAC_SPD_077,2,4,1,1,64,10,7,3
2016-01-01 00:00:00,fr_AAC_SPD_084,1,4,1,1,65,10,7,3
2016-01-01 00:00:00,fr_AAC_SPD_097,2,4,1,1,66,10,7,3
2016-01-01 00:00:00,fr_AAC_SPD_130,3,4,1,1,67,10,7,3
2016-01-01 00:00:00,fr_DES_AAG_023,412,4,1,1,68,11,8,3
2016-01-01 00:00:00,fr_DES_AAG_043,319,4,1,1,69,11,8,3
2016-01-01 00:00:00,fr_DES_AAG_051,170,4,1,1,70,11,8,3
2016-01-01 00:00:00,fr_DES_AAG_058,290,4,1,1,71,11,8,3
2016-01-01 00:00:00,fr_DES_AAG_061,68,4,1,1,72,11,8,3
2016-01-01 00:00:00,fr_DES_AAG_091,368,4,1,1,73,11,8,3
2016-01-01 00:00:00,fr_DES_AAG_093,316,4,1,1,74,11,8,3
2016-01-01 00:00:00,fr_DES_AAG_094,59,4,1,1,75,11,8,3
2016-01-01 00:00:00,fr_DES_AAG_136,63,4,1,1,76,11,8,3
2016-01-01 00:00:00,fr_MOB_AAG_006,88,4,1,1,77,12,9,3
2016-01-01 00:00:00,fr_MOB_AAG_030,2214,4,1,1,78,12,9,3
2016-01-01 00:00:00,fr_MOB_AAG_066,47,4,1,1,79,12,9,3
2016-01-01 00:00:00,fr_MOB_AAG_117,73,4,1,1,80,12,9,3
2016-01-01 00:00:00,fr_MOB_AAG_120,327,4,1,1,81,12,9,3
2016-01-01 00:00:00,fr_MOB_AAG_121,970,4,1,1,82,12,9,3
2016-01-01 00:00:00,fr_MOB_AAG_135,18564,4,1,1,83,12,9,3
2016-01-01 00:00:00,fr_MOB_AAG_147,182,4,1,1,84,12,9,3
2016-01-01 00:00:00,ja_AAC_AAG_038,2171,4,1,1,85,13,10,4
2016-01-01 00:00:00,ja_AAC_AAG_047,126,4,1,1,86,13,10,4
2016-01-01 00:00:00,ja_AAC_AAG_055,212,4,1,1,87,13,10,4
2016-01-01 00:00:00,ja_AAC_AAG_076,1005,4,1,1,88,13,10,4
2016-01-01 00:00:00,ja_AAC_AAG_099,35,4,1,1,89,13,10,4
2016-01-01 00:00:00,ja_AAC_AAG_128,554,4,1,1,90,13,10,4
2016-01-01 00:00:00,ja_AAC_AAG_132,6531,4,1,1,91,13,10,4
2016-01-01 00:00:00,ja_AAC_AAG_134,143,4,1,1,92,13,10,4
2016-01-01 00:00:00,ja_AAC_AAG_137,484,4,1,1,93,13,10,4
2016-01-01 00:00:00,ja_AAC_SPD_013,147,4,1,1,94,14,10,4
2016-01-01 00:00:00,ja_AAC_SPD_034,5,4,1,1,95,14,10,4
2016-01-01 00:00:00,ja_AAC_SPD_050,125,4,1,1,96,14,10,4
2016-01-01 00:00:00,ja_AAC_SPD_060,20,4,1,1,97,14,10,4
2016-01-01 00:00:00,ja_AAC_SPD_078,582,4,1,1,98,14,10,4
2016-01-01 00:00:00,ja_AAC_SPD_106,70,4,1,1,99,14,10,4
2016-01-01 00:00:00,ja_DES_AAG_079,619,4,1,1,100,15,11,4
2016-01-01 00:00:00,ja_DES_AAG_081,157,4,1,1,101,15,11,4
2016-01-01 00:00:00,ja_DES_AAG_113,35,4,1,1,102,15,11,4
2016-01-01 00:00:00,ja_MOB_AAG_065,443,4,1,1,103,16,12,4
2016-01-01 00:00:00,ja_MOB_AAG_073,653,4,1,1,104,16,12,4
2016-01-01 00:00:00,ja_MOB_AAG_092,88,4,1,1,105,16,12,4
2016-01-01 00:00:00,ja_MOB_AAG_127,209,4,1,1,106,16,12,4
2016-01-01 00:00:00,ja_MOB_AAG_129,2463,4,1,1,107,16,12,4
2016-01-01 00:00:00,ja_MOB_AAG_144,365,4,1,1,108,16,12,4
2016-01-01 00:00:00,ru_AAC_AAG_008,736,4,1,1,109,17,13,5
2016-01-01 00:00:00,ru_AAC_AAG_145,1610,4,1,1,110,17,13,5
2016-01-01 00:00:00,ru_AAC_AAG_146,17,4,1,1,111,17,13,5
2016-01-01 00:00:00,ru_AAC_SPD_000,21,4,1,1,112,18,13,5
2016-01-01 00:00:00,ru_AAC_SPD_090,23,4,1,1,113,18,13,5
2016-01-01 00:00:00,ru_AAC_SPD_148,5,4,1,1,114,18,13,5
2016-01-01 00:00:00,ru_DES_AAG_003,683,4,1,1,115,19,14,5
2016-01-01 00:00:00,ru_DES_AAG_007,881,4,1,1,116,19,14,5
2016-01-01 00:00:00,ru_DES_AAG_017,86,4,1,1,117,19,14,5
2016-01-01 00:00:00,ru_DES_AAG_041,1047,4,1,1,118,19,14,5
2016-01-01 00:00:00,ru_DES_AAG_071,622,4,1,1,119,19,14,5
2016-01-01 00:00:00,ru_DES_AAG_072,181,4,1,1,120,19,14,5
2016-01-01 00:00:00,ru_MOB_AAG_002,347,4,1,1,121,20,15,5
2016-01-01 00:00:00,ru_MOB_AAG_040,344,4,1,1,122,20,15,5
2016-01-01 00:00:00,ru_MOB_AAG_083,1271,4,1,1,123,20,15,5
2016-01-01 00:00:00,ru_MOB_AAG_086,899,4,1,1,124,20,15,5
2016-01-01 00:00:00,ru_MOB_AAG_103,261,4,1,1,125,20,15,5
2016-01-01 00:00:00,ru_MOB_AAG_107,618,4,1,1,126,20,15,5
2016-01-01 00:00:00,ru_MOB_AAG_118,671,4,1,1,127,20,15,5
2016-01-01 00:00:00,ru_MOB_AAG_125,1963,4,1,1,128,20,15,5
2016-01-01 00:00:00,zh_AAC_AAG_021,573,4,1,1,129,21,16,6
2016-01-01 00:00:00,zh_AAC_AAG_033,18,4,1,1,130,21,16,6
2016-01-01 00:00:00,zh_AAC_AAG_037,61,4,1,1,131,21,16,6
2016-01-01 00:00:00,zh_AAC_AAG_052,7844,4,1,1,132,21,16,6
2016-01-01 00:00:00,zh_AAC_AAG_057,460,4,1,1,133,21,16,6
2016-01-01 00:00:00,zh_AAC_AAG_085,2021,4,1,1,134,21,16,6
2016-01-01 00:00:00,zh_AAC_AAG_108,705,4,1,1,135,21,16,6
2016-01-01 00:00:00,zh_AAC_SPD_039,15,4,1,1,136,22,16,6
2016-01-01 00:00:00,zh_AAC_SPD_096,15,4,1,1,137,22,16,6
2016-01-01 00:00:00,zh_DES_AAG_009,57,4,1,1,138,23,17,6
2016-01-01 00:00:00,zh_DES_AAG_019,241,4,1,1,139,23,17,6
2016-01-01 00:00:00,zh_DES_AAG_053,197,4,1,1,140,23,17,6
2016-01-01 00:00:00,zh_DES_AAG_054,228,4,1,1,141,23,17,6
2016-01-01 00:00:00,zh_DES_AAG_056,874,4,1,1,142,23,17,6
2016-01-01 00:00:00,zh_DES_AAG_068,329,4,1,1,143,23,17,6
2016-01-01 00:00:00,zh_DES_AAG_089,335,4,1,1,144,23,17,6
2016-01-01 00:00:00,zh_DES_AAG_139,251,4,1,1,145,23,17,6
2016-01-01 00:00:00,zh_MOB_AAG_005,6,4,1,1,146,24,18,6
2016-01-01 00:00:00,zh_MOB_AAG_028,42,4,1,1,147,24,18,6
2016-01-01 00:00:00,zh_MOB_AAG_031,230,4,1,1,148,24,18,6
2016-01-01 00:00:00,zh_MOB_AAG_036,262,4,1,1,149,24,18,6
2016-01-01 00:00:00,zh_MOB_AAG_138,66,4,1,1,150,24,18,6
2016-01-02 00:00:00,Total,129902,5,2,1,0,0,0,0
2016-01-02 00:00:00,de,16782,5,2,1,0,0,0,1
2016-01-02 00:00:00,en,46894,5,2,1,0,0,0,2
2016-01-02 00:00:00,fr,15613,5,2,1,0,0,0,3
2016-01-02 00:00:00,ja,19981,5,2,1,0,0,0,4
2016-01-02 00:00:00,ru,14283,5,2,1,0,0,0,5
2016-01-02 00:00:00,zh,16349,5,2,1,0,0,0,6
2016-01-02 00:00:00,de_AAC,11767,5,2,1,0,0,1,1
2016-01-02 00:00:00,de_DES,1127,5,2,1,0,0,2,1
2016-01-02 00:00:00,de_MOB,3888,5,2,1,0,0,3,1
2016-01-02 00:00:00,en_AAC,21385,5,2,1,0,0,4,2
2016-01-02 00:00:00,en_DES,18168,5,2,1,0,0,5,2
2016-01-02 00:00:00,en_MOB,7341,5,2,1,0,0,6,2
2016-01-02 00:00:00,fr_AAC,9208,5,2,1,0,0,7,3
2016-01-02 00:00:00,fr_DES,2597,5,2,1,0,0,8,3
2016-01-02 00:00:00,fr_MOB,3808,5,2,1,0,0,9,3
2016-01-02 00:00:00,ja_AAC,15092,5,2,1,0,0,10,4
2016-01-02 00:00:00,ja_DES,726,5,2,1,0,0,11,4
2016-01-02 00:00:00,ja_MOB,4163,5,2,1,0,0,12,4
2016-01-02 00:00:00,ru_AAC,3043,5,2,1,0,0,13,5
2016-01-02 00:00:00,ru_DES,4161,5,2,1,0,0,14,5
2016-01-02 00:00:00,ru_MOB,7079,5,2,1,0,0,15,5
2016-01-02 00:00:00,zh_AAC,12756,5,2,1,0,0,16,6
2016-01-02 00:00:00,zh_DES,2823,5,2,1,0,0,17,6
2016-01-02 00:00:00,zh_MOB,770,5,2,1,0,0,18,6
2016-01-02 00:00:00,de_AAC_AAG,11715,5,2,1,0,1,1,1
2016-01-02 00:00:00,de_AAC_SPD,52,5,2,1,0,2,1,1
2016-01-02 00:00:00,de_DES_AAG,1127,5,2,1,0,3,2,1
2016-01-02 00:00:00,de_MOB_AAG,3888,5,2,1,0,4,3,1
2016-01-02 00:00:00,en_AAC_AAG,21112,5,2,1,0,5,4,2
2016-01-02 00:00:00,en_AAC_SPD,273,5,2,1,0,6,4,2
2016-01-02 00:00:00,en_DES_AAG,18168,5,2,1,0,7,5,2
2016-01-02 00:00:00,en_MOB_AAG,7341,5,2,1,0,8,6,2
2016-01-02 00:00:00,fr_AAC_AAG,9185,5,2,1,0,9,7,3
2016-01-02 00:00:00,fr_AAC_SPD,23,5,2,1,0,10,7,3
2016-01-02 00:00:00,fr_DES_AAG,2597,5,2,1,0,11,8,3
2016-01-02 00:00:00,fr_MOB_AAG,3808,5,2,1,0,12,9,3
2016-01-02 00:00:00,ja_AAC_AAG,14105,5,2,1,0,13,10,4
2016-01-02 00:00:00,ja_AAC_SPD,987,5,2,1,0,14,10,4
2016-01-02 00:00:00,ja_DES_AAG,726,5,2,1,0,15,11,4
2016-01-02 00:00:00,ja_MOB_AAG,4163,5,2,1,0,16,12,4
2016-01-02 00:00:00,ru_AAC_AAG,2952,5,2,1,0,17,13,5
2016-01-02 00:00:00,ru_AAC_SPD,91,5,2,1,0,18,13,5
2016-01-02 00:00:00,ru_DES_AAG,4161,5,2,1,0,19,14,5
2016-01-02 00:00:00,ru_MOB_AAG,7079,5,2,1,0,20,15,5
2016-01-02 00:00:00,zh_AAC_AAG,12736,5,2,1,0,21,16,6
2016-01-02 00:00:00,zh_AAC_SPD,20,5,2,1,0,22,16,6
2016-01-02 00:00:00,zh_DES_AAG,2823,5,2,1,0,23,17,6
2016-01-02 00:00:00,zh_MOB_AAG,770,5,2,1,0,24,18,6
2016-01-02 00:00:00,de_AAC_AAG_001,413,5,2,1,1,1,1,1
2016-01-02 00:00:00,de_AAC_AAG_010,1885,5,2,1,2,1,1,1
2016-01-02 00:00:00,de_AAC_AAG_014,6068,5,2,1,3,1,1,1
2016-01-02 00:00:00,de_AAC_AAG_045,44,5,2,1,4,1,1,1
2016-01-02 00:00:00,de_AAC_AAG_063,2240,5,2,1,5,1,1,1
2016-01-02 00:00:00,de_AAC_AAG_100,219,5,2,1,6,1,1,1
2016-01-02 00:00:00,de_AAC_AAG_110,569,5,2,1,7,1,1,1
2016-01-02 00:00:00,de_AAC_AAG_123,124,5,2,1,8,1,1,1
2016-01-02 00:00:00,de_AAC_AAG_143,153,5,2,1,9,1,1,1
2016-01-02 00:00:00,de_AAC_SPD_012,10,5,2,1,10,2,1,1
2016-01-02 00:00:00,de_AAC_SPD_074,4,5,2,1,11,2,1,1
2016-01-02 00:00:00,de_AAC_SPD_080,18,5,2,1,12,2,1,1
2016-01-02 00:00:00,de_AAC_SPD_105,9,5,2,1,13,2,1,1
2016-01-02 00:00:00,de_AAC_SPD_115,7,5,2,1,14,2,1,1
2016-01-02 00:00:00,de_AAC_SPD_133,4,5,2,1,15,2,1,1
2016-01-02 00:00:00,de_DES_AAG_064,269,5,2,1,16,3,2,1
2016-01-02 00:00:00,de_DES_AAG_116,174,5,2,1,17,3,2,1
2016-01-02 00:00:00,de_DES_AAG_131,684,5,2,1,18,3,2,1
2016-01-02 00:00:00,de_MOB_AAG_015,654,5,2,1,19,4,3,1
2016-01-02 00:00:00,de_MOB_AAG_020,1176,5,2,1,20,4,3,1
2016-01-02 00:00:00,de_MOB_AAG_032,279,5,2,1,21,4,3,1
2016-01-02 00:00:00,de_MOB_AAG_059,271,5,2,1,22,4,3,1
2016-01-02 00:00:00,de_MOB_AAG_062,106,5,2,1,23,4,3,1
2016-01-02 00:00:00,de_MOB_AAG_088,368,5,2,1,24,4,3,1
2016-01-02 00:00:00,de_MOB_AAG_095,12,5,2,1,25,4,3,1
2016-01-02 00:00:00,de_MOB_AAG_109,726,5,2,1,26,4,3,1
2016-01-02 00:00:00,de_MOB_AAG_122,135,5,2,1,27,4,3,1
2016-01-02 00:00:00,de_MOB_AAG_149,161,5,2,1,28,4,3,1
2016-01-02 00:00:00,en_AAC_AAG_044,278,5,2,1,29,5,4,2
2016-01-02 00:00:00,en_AAC_AAG_049,926,5,2,1,30,5,4,2
2016-01-02 00:00:00,en_AAC_AAG_075,41,5,2,1,31,5,4,2
2016-01-02 00:00:00,en_AAC_AAG_114,5955,5,2,1,32,5,4,2
2016-01-02 00:00:00,en_AAC_AAG_119,12660,5,2,1,33,5,4,2
2016-01-02 00:00:00,en_AAC_AAG_141,1252,5,2,1,34,5,4,2
2016-01-02 00:00:00,en_AAC_SPD_004,19,5,2,1,35,6,4,2
2016-01-02 00:00:00,en_AAC_SPD_011,15,5,2,1,36,6,4,2
2016-01-02 00:00:00,en_AAC_SPD_026,14,5,2,1,37,6,4,2
2016-01-02 00:00:00,en_AAC_SPD_048,18,5,2,1,38,6,4,2
2016-01-02 00:00:00,en_AAC_SPD_067,15,5,2,1,39,6,4,2
2016-01-02 00:00:00,en_AAC_SPD_126,188,5,2,1,40,6,4,2
2016-01-02 00:00:00,en_AAC_SPD_140,4,5,2,1,41,6,4,2
2016-01-02 00:00:00,en_DES_AAG_016,5,5,2,1,42,7,5,2
2016-01-02 00:00:00,en_DES_AAG_024,765,5,2,1,43,7,5,2
2016-01-02 00:00:00,en_DES_AAG_042,169,5,2,1,44,7,5,2
2016-01-02 00:00:00,en_DES_AAG_069,10762,5,2,1,45,7,5,2
2016-01-02 00:00:00,en_DES_AAG_082,1797,5,2,1,46,7,5,2
2016-01-02 00:00:00,en_DES_AAG_102,4670,5,2,1,47,7,5,2
2016-01-02 00:00:00,en_MOB_AAG_018,1517,5,2,1,48,8,6,2
2016-01-02 00:00:00,en_MOB_AAG_022,1756,5,2,1,49,8,6,2
2016-01-02 00:00:00,en_MOB_AAG_101,309,5,2,1,50,8,6,2
2016-01-02 00:00:00,en_MOB_AAG_124,3759,5,2,1,51,8,6,2
2016-01-02 00:00:00,fr_AAC_AAG_029,1383,5,2,1,52,9,7,3
2016-01-02 00:00:00,fr_AAC_AAG_046,134,5,2,1,53,9,7,3
2016-01-02 00:00:00,fr_AAC_AAG_070,631,5,2,1,54,9,7,3
2016-01-02 00:00:00,fr_AAC_AAG_087,1497,5,2,1,55,9,7,3
2016-01-02 00:00:00,fr_AAC_AAG_098,3124,5,2,1,56,9,7,3
2016-01-02 00:00:00,fr_AAC_AAG_104,824,5,2,1,57,9,7,3
2016-01-02 00:00:00,fr_AAC_AAG_111,382,5,2,1,58,9,7,3
2016-01-02 00:00:00,fr_AAC_AAG_112,963,5,2,1,59,9,7,3
2016-01-02 00:00:00,fr_AAC_AAG_142,247,5,2,1,60,9,7,3
2016-01-02 00:00:00,fr_AAC_SPD_025,5,5,2,1,61,10,7,3
2016-01-02 00:00:00,fr_AAC_SPD_027,3,5,2,1,62,10,7,3
2016-01-02 00:00:00,fr_AAC_SPD_035,3,5,2,1,63,10,7,3
2016-01-02 00:00:00,fr_AAC_SPD_077,1,5,2,1,64,10,7,3
2016-01-02 00:00:00,fr_AAC_SPD_084,3,5,2,1,65,10,7,3
2016-01-02 00:00:00,fr_AAC_SPD_097,3,5,2,1,66,10,7,3
2016-01-02 00:00:00,fr_AAC_SPD_130,5,5,2,1,67,10,7,3
2016-01-02 00:00:00,fr_DES_AAG_023,447,5,2,1,68,11,8,3
2016-01-02 00:00:00,fr_DES_AAG_043,395,5,2,1,69,11,8,3
2016-01-02 00:00:00,fr_DES_AAG_051,216,5,2,1,70,11,8,3
2016-01-02 00:00:00,fr_DES_AAG_058,274,5,2,1,71,11,8,3
2016-01-02 00:00:00,fr_DES_AAG_061,63,5,2,1,72,11,8,3
2016-01-02 00:00:00,fr_DES_AAG_091,568,5,2,1,73,11,8,3
2016-01-02 00:00:00,fr_DES_AAG_093,426,5,2,1,74,11,8,3
2016-01-02 00:00:00,fr_DES_AAG_094,128,5,2,1,75,11,8,3
2016-01-02 00:00:00,fr_DES_AAG_136,80,5,2,1,76,11,8,3
2016-01-02 00:00:00,fr_MOB_AAG_006,75,5,2,1,77,12,9,3
2016-01-02 00:00:00,fr_MOB_AAG_030,1288,5,2,1,78,12,9,3
2016-01-02 00:00:00,fr_MOB_AAG_066,29,5,2,1,79,12,9,3
2016-01-02 00:00:00,fr_MOB_AAG_117,88,5,2,1,80,12,9,3
2016-01-02 00:00:00,fr_MOB_AAG_120,323,5,2,1,81,12,9,3
2016-01-02 00:00:00,fr_MOB_AAG_121,1017,5,2,1,82,12,9,3
2016-01-02 00:00:00,fr_MOB_AAG_135,821,5,2,1,83,12,9,3
2016-01-02 00:00:00,fr_MOB_AAG_147,167,5,2,1,84,12,9,3
2016-01-02 00:00:00,ja_AAC_AAG_038,2462,5,2,1,85,13,10,4
2016-01-02 00:00:00,ja_AAC_AAG_047,178,5,2,1,86,13,10,4
2016-01-02 00:00:00,ja_AAC_AAG_055,350,5,2,1,87,13,10,4
2016-01-02 00:00:00,ja_AAC_AAG_076,1255,5,2,1,88,13,10,4
2016-01-02 00:00:00,ja_AAC_AAG_099,41,5,2,1,89,13,10,4
2016-01-02 00:00:00,ja_AAC_AAG_128,478,5,2,1,90,13,10,4
2016-01-02 00:00:00,ja_AAC_AAG_132,8649,5,2,1,91,13,10,4
2016-01-02 00:00:00,ja_AAC_AAG_134,161,5,2,1,92,13,10,4
2016-01-02 00:00:00,ja_AAC_AAG_137,531,5,2,1,93,13,10,4
2016-01-02 00:00:00,ja_AAC_SPD_013,217,5,2,1,94,14,10,4
2016-01-02 00:00:00,ja_AAC_SPD_034,28,5,2,1,95,14,10,4
